Sat Mar  1 13:10:42 2014	89	Monoceros	6EQUJ5	I feel apocalyptic today
Sat Mar  1 13:16:05 2014	86	Processory	Take Me To Your Leader	Change is Gradual
Sat Mar  1 13:21:39 2014	83	Fenster	Fisherman	Bones
Sat Mar  1 13:24:48 2014	89	Repose	Currents	After The Equinox
Sat Mar  1 13:27:55 2014	83	Sin Fang	It's Not There	Half Dreams
Sat Mar  1 13:32:30 2014	82	Go Find	Ice Bear	Music For Hairy Scary Monsters
Sat Mar  1 13:34:54 2014	84	Plastik Joy	True Norwegian Black Metal	3:03
Sat Mar  1 13:38:25 2014	82	Dustin.odell	I Always Come Back Wiser	last thursday died last week
Sat Mar  1 13:40:37 2014	80	Emiliana Torrini	Speed Of Dark	Tookah
Sat Mar  1 13:45:53 2014	87	Lykke Li	Everybody But Me	Youth Novels
Sat Mar  1 13:49:05 2014	85	M83	Too Late	Saturdays = Youth
Sat Mar  1 13:53:51 2014	80	Rumpistol	G.T.	Mere Rum
Sat Mar  1 13:58:23 2014	81	Isan	Look And Yes	plans drawn in pencil
Sat Mar  1 14:01:05 2014	79	Sigur Ros	Kveikur	Kveikur
Sat Mar  1 14:06:44 2014	80	Telefon Tel Aviv	I Made A Tree On The Wold	Immolate Yourself
Sat Mar  1 14:10:44 2014	76	Bibio	Saint Christopher	Mind Bokeh
Sat Mar  1 14:17:03 2014	76	Ulrich Schnauss	On My Own (Robin Guthrie Versi	Essential Electronica: Soul Sauce Sauce
Sat Mar  1 14:23:02 2014	80	Ultre	Museum Of Air	The Nest And The Skull
Sat Mar  1 14:26:00 2014	73	Apparat	Song Of Los	The Devil's Walk
Sat Mar  1 14:30:19 2014	70	Barbara Morgenstern & Robert Lippok	Ein Knoten Aus Schwarz	Tesri
Sat Mar  1 14:32:49 2014	72	Soley	And Leave	We Sink
Sat Mar  1 14:36:17 2014	72	Washed Out	Don't Give Up	Paracosm
Sat Mar  1 14:39:55 2014	73	Awning	Mistaken Tendency	Two Against Me
Sat Mar  1 14:42:54 2014	73	Ex Confusion	Two Things	With Love
Sat Mar  1 14:44:56 2014	73	Ms. John Soda	Hands	Notes And The Like
Sat Mar  1 14:49:14 2014	71	Beacon	Anthem	The Ways We Separate
Sat Mar  1 14:52:16 2014	70	Ulrich Schnauss & Mark Peters	The Child Or The Pigeon	Underrated Silence
Sat Mar  1 14:55:34 2014	71	Notwist, The	Consequence	Neon Golden
Sat Mar  1 15:00:26 2014	73	Toro Y Moi	Rose Quartz	Anything In Return
Sat Mar  1 15:04:40 2014	73	Standish, Carlyon	Moves, Moves	Deleted Scenes
Sat Mar  1 15:10:06 2014	70	Boom Bip	Do As I Do	Zig Zaj
Sat Mar  1 15:14:59 2014	70	Arovane	Cry Osaka Cry	Lilies
Sat Mar  1 15:20:06 2014	74	Park Avenue Music	How's Your 401k	For Your Home or Office
Sat Mar  1 15:24:54 2014	73	Sigur Ros	Stormur	Kveikur
Sat Mar  1 15:29:22 2014	80	Contriva	Bluebottle	Separate Chambers
Sat Mar  1 15:33:24 2014	78	Xela	Smiles And Bridges	Tangled Wool
Sat Mar  1 15:37:51 2014	80	L'Altra	Lips Move On Top Of Quiet	Domino 2001
Sat Mar  1 15:43:23 2014	80	Rumpistol	Sdr Fasanvej Kl. Ca. 22 00	Rumpistol
Sat Mar  1 15:46:57 2014	78	Unni Lovlid	Myrketid (Polar Night)	n/a
Sat Mar  1 15:51:02 2014	79	Mmoths	Heart (Ft. Shelly In Athens)	Mmoths
Sat Mar  1 15:55:39 2014	72	Blue Foundation	Lost (Featuring Sara Savery)	In My Mind I Am Free
Sat Mar  1 16:00:39 2014	71	I Am Robot And Proud	The Melt	Uphill City
Sat Mar  1 16:04:17 2014	70	Ulfur	Heaven In A Wildflower	White Mountain
Sat Mar  1 16:10:18 2014	71	Slicker	Next Time	Immediate Action
Sat Mar  1 16:14:56 2014	73	Four Tet	Parks	Pause
Sat Mar  1 16:20:41 2014	76	Teen Daze	Alaska	Glacier
Sat Mar  1 16:25:00 2014	80	Cutler	Maltese Cross	Everything Is Touching Everything Else
Sat Mar  1 16:27:30 2014	79	Washed Out	Paracosm	Paracosm
Sat Mar  1 16:33:42 2014	78	Butcher The Bar	Leave This Town	Sleep At Your Own Speed
Sat Mar  1 16:36:37 2014	78	Kiln	Ero	Twinewheel [Lost-Sides and Dusty-Gems 1994-2005]
Sat Mar  1 16:40:35 2014	75	Styrofoam	Anything	Nothing's Lost
Sat Mar  1 16:44:16 2014	72	Valgeir Sigurysson	Evolution Of Water	n/a
Sat Mar  1 16:48:41 2014	65	Dntel	Fear Of Corners (L.A. Bus Mix)	Meteosound / Select Cuts
Sat Mar  1 16:54:34 2014	68	F.S. Blumm	Wass	Zweite Meer
Sat Mar  1 16:56:47 2014	67	Merkin Dream	Softly	The Merkin Dream
Sat Mar  1 17:01:52 2014	62	Body Language	I'm A Mess	Grammar EP
Sat Mar  1 17:04:45 2014	65	Midnight Juggernauts	Dystopia	Dystopia
Sat Mar  1 17:07:29 2014	59	Album Leaf	Shine	Into the Blue Again
Sat Mar  1 17:12:58 2014	64	Marc Hellner	Mine Is Made Of	Marriages
Sat Mar  1 17:18:08 2014	64	Plastik Joy	Twenty-Ninth Of April	3:03
Sat Mar  1 17:23:39 2014	66	Allegra Gellar	A Younger Man's Game	Allegra Gellar - The Secret Plans of Men
Sat Mar  1 17:28:29 2014	65	Plaid	Founded	Scintilli
Sat Mar  1 17:31:27 2014	67	Shigeto	Sky Of The Revolution	Ghostly By Night
Sat Mar  1 17:36:37 2014	70	Bibio	Haikuesque (The Gentleman Lose	n/a
Sat Mar  1 17:40:08 2014	73	Naked & Famous	The Sun	Passive Me, Aggressive You
Sat Mar  1 17:43:48 2014	74	Clock Opera	Let Go The Lifeboats	Belongings
Sat Mar  1 17:46:29 2014	71	Figurine	Connections	Monika Force
Sat Mar  1 17:50:43 2014	72	Emiliana Torrini	Sunnyroad (Atom's Future Folk Mix)	Sunnyroad
Sat Mar  1 17:53:52 2014	75	Big Toe	Cycling Shoes	(Limited release 7")
Sat Mar  1 17:56:27 2014	73	Toro Y Moi	Studies	Anything In Return
Sat Mar  1 18:00:19 2014	76	Granufunk	Big City Lights	Granufunk
Sat Mar  1 18:04:36 2014	80	Yppah	Shutter Speed	They Know What Ghost Know
Sat Mar  1 18:08:15 2014	76	Sigur Ros	Brennisteinn	Kveikur
Sat Mar  1 18:15:22 2014	75	Lali Puna	Nin-Com-Pop (2ls Mix (Compilat	I Thought I Was Over That
Sat Mar  1 18:18:25 2014	72	Solvent	Discontinued Parts (Instrumental Mix)	Blue Skied An' Clear
Sat Mar  1 18:22:26 2014	69	Lapalux	Without You Feat. Kerry Latham	Nostalchic
Sat Mar  1 18:27:22 2014	69	Anois	And You Are Okay	Tracery On A Frosted Window EP
Sat Mar  1 18:31:54 2014	67	Ms. John Soda	Hiding, Fading	No P. Or D.
Sat Mar  1 18:36:43 2014	60	Khonnor	Phone Calls From You	Handwriting
Sat Mar  1 18:40:24 2014	59	B. Fleischmann	Gain	The Humbucking Coil
Sat Mar  1 18:45:08 2014	62	Dalot	Haiku 23	HAIKUS 23
Sat Mar  1 18:47:14 2014	62	Cemeteries	Summer Smoke	The Wilderness
Sat Mar  1 18:53:27 2014	62	Dan Deacon	Prettyboy	America
