Tue Jan  1 10:13:09 2013	35	Jeremy Jay	Winter Wonder	Slow Dance [Vinyl]
Tue Jan  1 10:16:54 2013	36	Morgan	Christmas In Waikiki	Xfm: It's A Cool, Cool Christmas
Tue Jan  1 10:21:28 2013	37	Dinosaur Feathers	A Day in the Life of a Christmas Tree	Do you EAR what I EAR?
Tue Jan  1 10:24:36 2013	36	Jingle Punx	Silver Bells	n/a
Tue Jan  1 10:26:36 2013	34	Evangelicals	The Last Christmas On Earth	n/a
Tue Jan  1 10:30:37 2013	33	Basement Apartment	Merry X-Mas	n/a
Tue Jan  1 10:33:21 2013	34	Laura Marling	Goodbye England (Covered In Snow)	I Speak Because I Can
Tue Jan  1 10:36:55 2013	34	Shonen Knife	Space Christmas	Indie Top 20 - Volume 14
Tue Jan  1 10:39:52 2013	34	Jigsaw Seen	What About Christmas	What About Christmas?
Tue Jan  1 10:43:23 2013	41	Decemberists, The	Angel, Won't You Call Me	5 Songs
Tue Jan  1 10:45:55 2013	34	Apside	Do They Know It's Christmas	n/a
Tue Jan  1 10:50:52 2013	35	Ramones, The	Merry Christmas (I Don't Wannna Fight Tonight)	n/a
Tue Jan  1 10:53:06 2013	34	Todd Carey	Perfect Christmas Day	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 10:56:01 2013	30	Elvis Costello, Feist, John Legend, Stephen Colbert, Toby Keith	(What's So Funny 'Bout) Peace, Love and Understanding	n/a
Tue Jan  1 10:58:24 2013	31	U2	Christmas (Baby Please Come Home)	Pop
Tue Jan  1 11:00:38 2013	32	Belle & Sebastian	Winter Wooskie	Push Barman To Open Old Wounds
Tue Jan  1 11:03:15 2013	31	Ventures, The	Sleigh Ride	n/a
Tue Jan  1 11:05:35 2013	31	XTC	Countdown To Christmas Party Time	Rag & Bone Buffet (Rare Cuts & Leftovers)
Tue Jan  1 11:09:33 2013	33	Wooden Wand & The Briarwood Virgins	Winter In Kentucky	n/a
