Fri Feb  1 14:47:34 2013	51	Ol' Dirty Bastard	Sussudio	n/a
Fri Feb  1 14:51:47 2013	55	Sonic Youth	I'm Not There	I'm Not There [Disc 1]
Fri Feb  1 14:56:35 2013	54	Calibretto 13	The Ballroom Blitz	Enter the Danger Brigade
Fri Feb  1 15:00:08 2013	53	311	Love Song	50 First Dates
Fri Feb  1 15:03:31 2013	50	Gipsy Kings	Hotel California	The Very Best Of Gipsy Kings
Fri Feb  1 15:09:19 2013	49	Living End	Tainted Love	From Here on in: Singles 1997-2004/Under the Covers
Fri Feb  1 15:13:00 2013	50	Pixies	Winterlong	Complete B-Sides
Fri Feb  1 15:15:53 2013	50	Timbaland	The Way I Are	The Way I Are - Single
Fri Feb  1 15:19:35 2013	51	Sinners	Hey Bulldog	Piecebypiece
Fri Feb  1 15:22:36 2013	50	Vika Yermolyeva	Pink Floyd	n/a
Fri Feb  1 15:26:54 2013	50	Millencolin	9 To 5	Story Of My Life Single
Fri Feb  1 15:29:53 2013	50	Less Than Jake	We Go Together	Pez Collection
Fri Feb  1 15:31:34 2013	53	Tool	No Quarter	Salival
Fri Feb  1 15:40:16 2013	53	Radiohead	Wish You Were Here	Lost Treasures 1993-1997
Fri Feb  1 15:47:06 2013	53	Stereophonics	Positively 4th Street	T-Shirt Suntan Ep
Fri Feb  1 15:50:42 2013	50	Hives	Lost And Found	Main Offender (Single)
Fri Feb  1 15:53:59 2013	52	Annie Lennox	Take Me To The River	Medusa/Live In Central Park (1 Of 2)
Fri Feb  1 15:57:15 2013	51	Au Revoir Simone	Oh You Pretty Things	n/a
Fri Feb  1 16:01:25 2013	51	Existential Hero	If Winter Ends (Bright Eyes Co	n/a
Fri Feb  1 16:03:40 2013	55	Ghoti Hook	Just What I Needed	Songs We Didn't Write
Fri Feb  1 16:06:17 2013	49	Aerosmith	Helter Skelter	Pandora's Box
Fri Feb  1 16:09:33 2013	48	Stretch Arm Strong	Get This Party Started	n/a
Fri Feb  1 16:11:34 2013	49	Rage Against The Machine	Kick Out The Jams	Renegades
Fri Feb  1 16:14:35 2013	48	Tom Waits	Heigh Ho	Stay Awake (disney covers)
Fri Feb  1 16:17:56 2013	48	Fall Out Boy	Love Will Tear Us Apart (Joy Division)	My Heart Will Always Be B-Side to My Tongue
Fri Feb  1 16:21:06 2013	46	Red Hot Chili Peppers	Search And Destroy	The Beavis And Butt-Head Experience
Fri Feb  1 16:24:37 2013	46	Deftones	No Ordinary Love	B-Sides & Rarities
Fri Feb  1 16:29:53 2013	46	Judas Priest	The Green Manalishi	Unleashed in the East
Fri Feb  1 16:33:13 2013	47	Ramones	Street Fighting Man	Too Tough to Die [Expanded]
Fri Feb  1 16:36:29 2013	45	Anberlin	Love Song	Anberlin - The Anthology (3CD)
Fri Feb  1 16:39:22 2013	44	Colin Meloy	Summertime	n/a
Fri Feb  1 16:41:56 2013	46	Me First And The Gimme Gimmes	Danny's Song	Have a Ball
Fri Feb  1 16:44:06 2013	48	Ok Go	Ant Music	Get Over It
Fri Feb  1 16:46:53 2013	46	New Found Glory	The Goonies R Good Enough	From the Screen to Your Stereo
Fri Feb  1 16:49:27 2013	47	Cat Power	(I Can't Get No) Satisfaction	The Covers Record
Fri Feb  1 16:52:24 2013	45	Meco	Ewok Celebration Club Mix	n/a
Fri Feb  1 16:59:15 2013	43	Boss Hoss	Toxic	Internashville Urban Hymns
Fri Feb  1 17:03:22 2013	45	Affinity	My Name Is Jonas	n/a
Fri Feb  1 17:07:53 2013	45	Willy Porter	Whip It	Gag Me With A Spoon
Fri Feb  1 17:11:48 2013	42	Patti Smith	Smells Like Teen Spirit	Twelve
Fri Feb  1 17:18:08 2013	44	Ben Folds Five	All Shook Up (Whatever And Ever Amen B-Sides)	n/a
Fri Feb  1 17:20:00 2013	44	Popchor Berlin	Grinding Halt	2
Fri Feb  1 17:21:36 2013	44	Eric Reed	Nice Work If You Can Get It	Pure Imagination
Fri Feb  1 17:25:29 2013	43	Pogues	Dirty Old Town	Rum Sodomy & the Lash
Fri Feb  1 17:29:05 2013	42	Tool	You Lied	Unrealeased Tracks
Fri Feb  1 17:37:03 2013	42	Foo Fighters	Darling Nikki	n/a
Fri Feb  1 17:40:16 2013	46	Doveman	Somebody's Eyes	n/a
Fri Feb  1 17:44:35 2013	41	Somethingawful.Com	Nothing's Gonna Stop Me Now	n/a
Fri Feb  1 17:45:40 2013	41	Sharon Jones & The Dap-Kings	Inspiration Information	Dark Was The Night- (2) That Disc
Fri Feb  1 17:49:59 2013	39	Less Than Jake	I Think I Love You	Scream 2
Fri Feb  1 17:52:00 2013	41	Me First And The Gimme Gimmes	You've Got A Friend	Have Another Ball! [Vinyl]
Fri Feb  1 17:54:32 2013	41	Playdagroove	Torture Never Ends	n/a
Fri Feb  1 18:04:16 2013	38	Nouvelle Vague	Marian	Nouvelle Vague (Clean)
Fri Feb  1 18:07:53 2013	38	Me First And The Gimme Gimmes	Nobody Does It Better	Have a Ball
Fri Feb  1 18:10:16 2013	38	Cat Power	Sea Of Love	The Covers Record
Fri Feb  1 18:12:22 2013	41	Ben Folds Five	Champagne Supernova	n/a
